week,optc
2015-02-22,1
2015-03-01,0
2015-03-08,1
2015-03-15,2
2015-03-22,1
2015-03-29,0
2015-04-05,0
2015-04-12,1
2015-04-19,0
2015-04-26,4
2015-05-03,0
2015-05-10,3
2015-05-17,4
2015-05-24,2
2015-05-31,2
2015-06-07,1
2015-06-14,2
2015-06-21,2
2015-06-28,6
2015-07-05,4
2015-07-12,2
2015-07-19,12
2015-07-26,5
2015-08-02,7
2015-08-09,11
2015-08-16,12
2015-08-23,14
2015-08-30,14
2015-09-06,13
2015-09-13,15
2015-09-20,18
2015-09-27,14
2015-10-04,11
2015-10-11,11
2015-10-18,19
2015-10-25,13
2015-11-01,14
2015-11-08,22
2015-11-15,19
2015-11-22,22
2015-11-29,23
2015-12-06,14
2015-12-13,21
2015-12-20,25
2015-12-27,29
2016-01-03,21
2016-01-10,18
2016-01-17,26
2016-01-24,20
2016-01-31,30
2016-02-07,29
2016-02-14,26
2016-02-21,17
2016-02-28,33
2016-03-06,31
2016-03-13,27
2016-03-20,26
2016-03-27,26
2016-04-03,23
2016-04-10,20
2016-04-17,27
2016-04-24,23
2016-05-01,30
2016-05-08,31
2016-05-15,33
2016-05-22,36
2016-05-29,41
2016-06-05,36
2016-06-12,31
2016-06-19,30
2016-06-26,34
2016-07-03,28
2016-07-10,31
2016-07-17,34
2016-07-24,30
2016-07-31,30
2016-08-07,39
2016-08-14,39
2016-08-21,29
2016-08-28,37
2016-09-04,36
2016-09-11,37
2016-09-18,38
2016-09-25,51
2016-10-02,36
2016-10-09,59
2016-10-16,47
2016-10-23,52
2016-10-30,52
2016-11-06,46
2016-11-13,44
2016-11-20,51
2016-11-27,44
2016-12-04,49
2016-12-11,43
2016-12-18,48
2016-12-25,42
2017-01-01,49
2017-01-08,42
2017-01-15,29
2017-01-22,33
2017-01-29,43
2017-02-05,43
2017-02-12,42
2017-02-19,67
2017-02-26,52
2017-03-05,45
2017-03-12,45
2017-03-19,49
2017-03-26,36
2017-04-02,32
2017-04-09,29
2017-04-16,43
2017-04-23,43
2017-04-30,33
2017-05-07,64
2017-05-14,46
2017-05-21,46
2017-05-28,54
2017-06-04,47
2017-06-11,42
2017-06-18,44
2017-06-25,37
2017-07-02,44
2017-07-09,47
2017-07-16,47
2017-07-23,38
2017-07-30,46
2017-08-06,48
2017-08-13,43
2017-08-20,42
2017-08-27,41
2017-09-03,41
2017-09-10,41
2017-09-17,43
2017-09-24,73
2017-10-01,49
2017-10-08,36
2017-10-15,46
2017-10-22,51
2017-10-29,34
2017-11-05,40
2017-11-12,41
2017-11-19,42
2017-11-26,34
2017-12-03,35
2017-12-10,31
2017-12-17,45
2017-12-24,73
2017-12-31,51
2018-01-07,43
2018-01-14,49
2018-01-21,48
2018-01-28,38
2018-02-04,39
2018-02-11,61
2018-02-18,100
2018-02-25,83
2018-03-04,43
2018-03-11,53
